category,brand,weight_kg,rating,warranty_years,power_usage_watts,feature_score,price
Kitchen,BrandC,19.24,4.0,2,846,1.07,660.87
Toys,BrandA,3.93,4.7,4,332,50.17,983.06
Apparel,BrandE,9.37,2.4,5,220,72.29,1006.71
Toys,BrandE,31.82,4.5,4,1416,63.73,1301.54
Toys,BrandB,22.96,1.9,4,1236,23.37,892.0
Furniture,BrandD,25.89,1.9,3,440,33.4,885.66
Apparel,BrandA,36.2,4.8,0,478,14.5,515.31
Apparel,BrandC,3.48,2.7,0,589,5.67,241.59
Apparel,BrandD,30.07,3.1,4,1964,17.41,1191.48
Toys,BrandE,26.2,1.6,4,958,72.82,1245.03
Kitchen,BrandE,14.49,3.4,4,1712,11.28,898.55
Apparel,BrandA,6.23,4.1,1,772,49.76,504.9
Toys,BrandA,3.34,3.6,5,293,79.14,1170.22
Furniture,BrandC,15.63,2.1,2,1206,70.05,967.66
Kitchen,BrandB,28.06,1.0,0,889,61.92,616.0
Furniture,BrandC,37.05,3.4,1,1341,12.57,865.81
Kitchen,BrandE,7.9,4.5,0,32,73.52,812.7
Toys,BrandE,49.03,3.5,4,1075,69.08,1432.89
Electronics,BrandC,9.44,3.3,2,1331,88.5,1308.75
Kitchen,BrandD,33.08,1.3,1,1257,85.85,821.99
Furniture,BrandB,11.18,1.8,1,244,5.81,162.01
Toys,BrandB,17.45,3.9,1,405,59.06,650.13
Kitchen,BrandA,7.01,3.1,1,843,69.07,920.95
Electronics,BrandB,19.5,3.3,0,169,78.75,676.59
Electronics,BrandA,20.67,2.4,2,1280,16.15,671.31
Apparel,BrandB,13.91,1.9,3,1481,12.96,741.34
Apparel,BrandB,29.24,3.1,3,1310,6.51,592.76
Furniture,BrandE,5.91,2.2,5,1669,32.38,1012.88
Kitchen,BrandB,18.63,4.5,5,1056,23.93,937.81
Kitchen,BrandE,17.22,1.5,2,1776,21.7,918.7
Apparel,BrandA,12.86,1.3,1,819,32.33,617.94
Kitchen,BrandC,39.19,3.1,3,1567,29.46,1123.32
Kitchen,BrandD,3.44,4.9,5,465,6.73,806.44
Electronics,BrandC,29.41,2.0,2,143,68.33,756.71
Apparel,BrandE,36.62,4.9,4,221,30.04,855.36
Toys,BrandE,25.88,1.2,4,1034,65.52,1054.1
Apparel,BrandB,5.91,4.8,2,1880,2.05,903.37
Toys,BrandE,37.67,1.9,2,1814,12.96,797.47
Electronics,BrandA,39.28,4.3,1,233,40.66,669.08
Furniture,BrandE,23.66,2.3,5,452,73.52,1074.66
Kitchen,BrandC,22.54,2.4,0,639,3.82,327.58
Electronics,BrandB,17.89,2.1,3,1483,71.42,1083.03
Kitchen,BrandA,15.98,3.1,5,1726,11.71,1101.4
Furniture,BrandA,0.51,2.6,1,757,10.31,364.62
Furniture,BrandD,7.6,1.1,2,660,70.99,832.91
Electronics,BrandA,39.83,4.4,1,880,83.03,1132.06
Furniture,BrandB,16.73,4.7,2,1038,43.65,812.55
Toys,BrandD,17.65,2.3,3,1122,64.35,1070.42
Furniture,BrandB,8.63,2.5,0,1838,84.49,1013.02
Kitchen,BrandD,0.5,3.8,4,602,28.75,851.95
Kitchen,BrandD,36.32,2.0,2,357,91.76,1071.97
Kitchen,BrandD,48.28,3.6,1,17,5.75,583.26
Kitchen,BrandB,9.28,1.1,5,1523,80.01,1253.68
Toys,BrandB,5.05,3.7,3,264,57.29,788.57
Apparel,BrandD,45.06,3.6,1,1014,77.69,1063.09
Electronics,BrandB,45.08,4.5,3,1947,8.23,1216.1
Kitchen,BrandE,12.97,3.6,3,22,53.72,814.45
Furniture,BrandE,4.29,2.7,3,280,19.22,547.64
Kitchen,BrandC,4.11,4.1,3,1482,47.47,1082.77
Furniture,BrandE,8.59,3.8,2,1064,89.39,1149.27
Furniture,BrandD,26.37,2.6,4,1285,78.34,1147.24
Kitchen,BrandC,37.8,1.1,0,1393,53.26,724.64
Toys,BrandB,12.07,4.2,4,1615,5.55,1078.72
Furniture,BrandC,40.93,2.0,2,1583,51.85,936.53
Furniture,BrandD,9.38,4.9,4,1985,81.55,1507.75
Kitchen,BrandD,12.76,1.8,0,1121,93.49,941.7
Furniture,BrandA,47.6,4.7,1,1406,71.96,1101.88
Furniture,BrandE,41.07,2.3,4,887,27.6,1007.24
Kitchen,BrandE,20.76,2.0,1,1810,25.63,649.1
Kitchen,BrandC,42.2,2.0,4,1181,61.28,1166.51
Electronics,BrandC,20.85,1.1,2,1995,72.4,746.99
Toys,BrandE,8.15,3.4,3,444,67.68,732.26
Toys,BrandD,48.13,1.4,4,1150,48.38,1022.62
Furniture,BrandB,32.48,4.8,2,1798,92.22,1557.29
Toys,BrandD,40.63,4.4,5,1314,6.71,1172.73
Furniture,BrandB,16.05,4.3,1,363,23.48,441.36
Electronics,BrandA,32.2,2.0,3,1082,93.1,1076.74
Kitchen,BrandC,17.37,3.7,0,696,48.43,551.39
Kitchen,BrandA,15.42,4.2,2,1422,1.38,670.5
Kitchen,BrandD,3.18,3.2,4,692,80.49,1109.0
Toys,BrandC,4.03,2.4,2,511,1.75,330.22
Electronics,BrandA,10.05,4.0,0,1119,51.19,779.63
Toys,BrandB,32.08,4.9,3,673,28.64,849.63
Toys,BrandA,13.45,2.9,4,166,60.85,886.06
Electronics,BrandA,22.94,2.5,4,269,77.99,1158.78
Electronics,BrandD,34.4,4.3,5,1023,87.68,1238.83
Electronics,BrandC,48.82,1.5,0,62,22.37,407.3
Electronics,BrandC,8.41,4.5,0,1321,57.85,732.08
Kitchen,BrandA,15.88,1.3,4,308,54.33,917.59
Apparel,BrandA,40.8,1.6,0,850,38.15,652.24
Apparel,BrandD,22.19,2.5,3,1489,43.2,798.5
Electronics,BrandB,8.65,1.2,4,580,7.61,658.02
Apparel,BrandD,9.0,5.0,5,1107,7.84,1061.2
Apparel,BrandB,23.12,2.9,1,1539,8.99,648.93
Electronics,BrandA,17.55,2.9,1,153,34.91,501.73
Apparel,BrandA,24.03,4.9,1,519,60.76,869.67
Toys,BrandC,16.09,2.1,2,1678,71.93,955.26
Furniture,BrandA,20.55,1.2,0,89,74.76,433.23
Furniture,BrandE,8.65,3.1,5,1558,90.22,1352.23
Electronics,BrandD,15.38,2.3,5,38,26.21,724.92
Kitchen,BrandD,3.64,1.3,5,1455,19.59,922.8
Electronics,BrandA,34.46,1.8,3,1214,81.97,821.85
Kitchen,BrandB,32.49,2.3,3,1160,40.95,1059.91
Furniture,BrandD,47.53,4.4,2,537,23.78,766.82
Electronics,BrandE,39.23,4.5,2,1811,88.32,1312.04
Toys,BrandE,23.56,4.9,3,390,27.0,758.93
Apparel,BrandD,41.78,1.7,0,1736,55.18,807.42
Kitchen,BrandE,21.14,3.9,4,1381,13.27,1011.84
Apparel,BrandD,1.9,1.8,3,1648,49.95,934.65
Apparel,BrandD,8.54,3.3,1,439,43.79,523.54
Electronics,BrandD,18.4,4.2,3,1985,98.32,1563.95
Apparel,BrandC,33.64,3.9,0,1698,44.65,1013.4
Toys,BrandA,19.79,1.5,0,661,50.46,591.78
Apparel,BrandE,43.78,4.8,5,359,67.75,1327.34
Electronics,BrandE,31.12,3.7,2,1072,1.48,548.96
Toys,BrandE,9.85,3.5,3,1138,97.0,1013.99
Furniture,BrandD,4.9,2.3,5,1577,75.94,1556.95
Apparel,BrandD,48.03,2.6,1,97,71.89,768.29
Electronics,BrandA,35.64,1.3,2,1371,95.16,1088.92
Furniture,BrandC,3.92,2.3,2,574,66.0,712.9
Furniture,BrandD,20.71,3.2,2,581,57.39,784.23
Kitchen,BrandD,2.03,1.6,1,880,23.56,438.88
Toys,BrandB,8.87,1.1,1,1919,95.38,925.74
Apparel,BrandE,39.07,4.2,3,1323,66.83,1258.79
Electronics,BrandD,23.65,2.1,2,59,23.09,538.18
Kitchen,BrandE,35.06,2.9,4,525,5.21,842.3
Toys,BrandA,1.01,1.4,2,1861,15.01,785.9
Kitchen,BrandA,10.91,1.1,0,357,48.64,391.63
Toys,BrandC,1.58,3.5,4,1615,14.67,911.3
Toys,BrandA,15.92,4.6,0,882,10.22,555.53
Apparel,BrandC,19.34,3.0,3,664,12.47,750.36
Toys,BrandC,25.23,2.9,4,1606,16.51,1070.2
Kitchen,BrandC,11.33,2.8,2,962,53.31,755.15
Toys,BrandD,0.41,1.6,3,51,60.54,810.25
Apparel,BrandC,29.41,4.5,0,572,90.15,972.09
Apparel,BrandB,44.95,2.4,4,598,13.02,694.88
Kitchen,BrandD,8.26,2.4,2,1366,84.65,1260.48
Furniture,BrandB,39.63,4.1,0,232,24.79,459.23
Furniture,BrandB,48.87,3.9,5,598,27.06,1198.42
Toys,BrandD,22.13,2.8,2,673,57.31,931.92
Electronics,BrandA,38.07,4.0,2,429,23.96,699.81
Toys,BrandB,26.4,1.5,3,540,63.04,899.33
Kitchen,BrandB,15.99,3.7,5,557,68.96,1237.34
Kitchen,BrandC,18.31,2.4,4,1571,58.37,1307.5
Kitchen,BrandC,42.31,1.2,1,589,53.09,753.2
